y,x1en,x2en,cte,xex,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
0.353459567,2.133948102,1.097204378,1,-1.59009737,0.751880682,-1.360234154,-0.106598,-1.251910458,-0.214913716,-0.304546754,-0.645375119,-1.480441364,0.705233823,1.886575997,0.053975813,2.021174505,1.085625295,0.624555312,-0.247321531,1.77550844,-0.414743046,-2.488277667
3.480379793,3.460942584,-0.33893812,1,0.203030159,-1.332139879,-0.467691953,0.54171223,-0.491960438,0.109140746,-0.256642209,0.379714378,-0.09666666,-1.113337336,-0.31855837,0.669220307,0.473116928,-0.46312134,1.168113108,0.938583176,1.52913184,-0.752752979,0.238067372
0.782259994,0.675593935,0.577672785,1,0.508361673,0.928476076,-0.245889694,-1.332147407,-0.699128862,-0.310581427,0.319650854,-0.045279194,0.542364095,0.468627593,-0.841589112,-1.183488203,-1.823026365,-0.38308194,-0.501372796,-0.316433754,-0.220244158,-0.418188692,-1.83255074
1.44962424,1.800879782,1.299983522,1,-0.800444186,-0.495802268,-0.068885633,0.946644895,0.53852292,-0.600644221,0.334076161,0.521454321,0.931353303,0.428476882,0.541051311,0.272873519,0.686729582,0.401411015,-0.153218941,1.27890274,-1.112874866,-1.2672136,-0.65573025
2.345692345,2.918244609,1.990235118,1,0.431779587,-1.148158877,0.444853979,0.227195224,1.713237736,0.89379817,-0.186070288,-1.399301115,-0.636041392,-1.203356293,-1.038968842,1.153088171,1.50867962,1.268197097,0.566275526,0.563806003,1.240713848,-0.008816876,0.215811648
2.715164419,1.354423108,-2.094445808,1,-0.309748517,0.179472286,0.954997841,-0.648482491,0.563775744,-2.406425097,-1.959368046,-0.694036151,0.347735382,-1.284598524,1.256873719,1.110957038,-0.672514669,1.231864533,2.84254772,1.232240686,0.866138507,-1.646161541,-0.725367925
2.318772907,1.269545237,-0.755427066,1,-0.707495775,-2.426988059,-0.899844975,2.592717636,-0.443802066,-0.262343039,-0.894485184,1.257195904,-0.774045787,-0.470264652,1.984315792,0.955737023,-0.094989817,-0.153833714,0.318634767,-0.716196866,-1.122728123,-0.453380103,0.431831061
4.417929769,6.210693261,1.021397694,1,-1.042529831,0.412705544,-1.136554147,-1.2009971,-0.108754546,-2.431427387,0.276844315,-1.347083497,-2.589951137,2.025176606,-1.337294096,-0.911297464,0.033386574,-1.574292699,-0.665906418,-0.316403184,0.80745244,0.141373205,-1.374146695
3.149389029,1.343739691,-1.605254284,1,0.470108077,0.467251231,-0.452738048,0.974054962,-0.065377849,1.194670983,2.362414613,-1.033122301,-0.463054399,-2.828564663,0.572703538,-0.165144507,0.098798228,-0.483169746,-0.495164187,-1.337394918,0.660490394,1.243149154,-0.299044343
3.876562117,3.592963808,-1.263249284,1,-0.49742012,0.974654982,1.716084165,1.56685509,-0.641880823,0.428948423,0.848450694,1.379603185,0.107499492,-1.840782405,-1.233507446,-1.596245045,-0.178440249,0.68224844,1.437529649,0.117469207,1.28629532,0.092948839,0.863714265
